gen_id	pul_id	jbrowseTag	orientation
650521840	13	other	+	
650521841	13	other	+	
650521842	13	other	+	
650521843	13	GH	+	
650521844	13	GH	+	
650521845	13	GH	+	
650521846	13	CE	+	
650521847	13	GH	+	
650521848	13	other	+	
650521849	13	GH	+	
650521850	13	GH	-	
642808289	33	Sulf	-	
642808290	33	PL	-	
642808291	33	Trans	-	
642808292	33	ROK	-	
642808293	33	other	-	
642808294	33	Sulf	-	
642808295	33	PL	-	
642808296	33	GH	-	
642808297	33	SusD	-	
642808298	33	Trans	-	
642808299	33	ROK	-	
642808300	33	REG	-	
642808301	33	other	-	
642808302	33	Sulf	+	
642808303	33	PL	+	
642808434	35	GH	+	
642808435	35	GH	-	
642808436	35	SusD	-	
642808437	35	Trans	-	
642808438	35	REG	+	
642808439	35	GH	-	
642808440	35	GH	-	
642808441	35	GH	-	
642808442	35	SusD	-	
642808443	35	Trans	-	
642808444	35	REG	+	
642808445	35	other	-	
642808446	35	other	-	
642808447	35	other	+	
642808448	35	GH	-	
642808449	35	SusD	-	
642808450	35	Trans	-	
642808451	35	REG	-	
642808452	35	GH	-	
642808453	35	GH	-	
642808454	35	GH	-	
642808455	35	GH	-	
642808456	35	GH	-	
642808457	35	GH	-	
642808458	35	GH	-	
642808459	35	GH	-	
642808460	35	GH	-	
642808461	35	GH	-	
642808462	35	GH	-	
642808463	35	other	-	
642808464	35	SusD	-	
642808465	35	Trans	-	
642808466	35	REG	-	
642808467	35	GH	+	
642808468	35	other	+	
642808469	35	other	-	
642808470	35	SusD	-	
642808471	35	Trans	-	
642808472	35	REG	+	
642808473	35	REG	+	
642808474	36	GH	+	
642808475	36	GH	+	
642808476	36	GH	+	
642808477	36	other	+	
642808478	36	other	+	
642808479	36	GH	-	
642808480	36	SusD	-	
642808481	36	Trans	-	
642808482	36	SusD	-	
642808483	36	Trans	-	
642808484	36	other	-	
642808485	36	other	-	
642808486	36	CE	-	
642808487	36	GH	+	
642808488	36	other	+	
642808489	36	REG	+	
642808490	36	Trans	+	
642808491	36	other	+	
642808492	36	other	+	
642808624	37	REG	-	
642808625	37	other	-	
642808626	37	other	-	
642808627	37	GH	-	
642808628	37	other	-	
642808629	37	other	-	
642808630	37	SusD	-	
642808631	37	Trans	-	
642808632	37	GH	-	
642808633	37	other	+	
642808634	37	other	+	
642808635	37	other	+	
642808636	37	GH	+	
642808637	37	GH	+	
642808638	37	GH	+	
642808639	37	Pept	+	
642808652	38	ROK	-	
642808653	38	Trans	-	
642808654	38	GH	-	
642808655	38	GH	-	
642808656	38	other	-	
642808657	38	other	-	
642808658	38	other	-	
642808659	38	other	-	
642808660	38	GH	-	
642808661	38	GH	-	
642808662	38	GH	-	
642808663	38	CBM	-	
642808664	38	other	-	
642808665	38	other	-	
642808666	38	SusD	-	
642808667	38	Trans	-	
642808668	38	GH	-	
642808757	39	GH	-	
642808758	39	other	-	
642808759	39	GH	-	
642808760	39	GH	-	
642808761	39	GH	-	
642808762	39	GH	-	
642808763	39	GH	-	
642808764	39	GH	-	
642808765	39	other	-	
642808766	39	GH	-	
642808767	39	GH	-	
642808768	39	other	-	
642808769	39	other	-	
642808770	39	GH	-	
642808771	39	other	-	
642808772	39	other	-	
642808773	39	SusD	-	
642808774	39	Trans	-	
642808775	39	other	-	
642808776	39	GH	-	
642808777	39	GH	-	
642808778	39	GH	-	
642808779	39	other	+	
642808780	39	other	-	
642808781	39	GH	-	
642808821	40	Trans	+	
642808822	40	GH	+	
642808823	40	other	+	
642808824	40	Trans	+	
642808825	40	SusD	+	
642808826	40	other	+	
642808827	40	other	+	
642808828	40	other	+	
642808829	40	other	+	
642808830	40	other	+	
642808873	44	Trans	+	
642808874	44	SusD	+	
642808875	44	other	+	
642808876	44	GH	+	
642808877	44	GH	+	
642808878	44	Trans	+	
642808879	44	SusD	+	
642808880	44	GH	+	
642808881	44	other	+	
642808882	44	GH	+	
642808963	45	GH	+	
642808964	45	other	-	
642808965	45	other	-	
642808966	45	REG	+	
642808967	45	REG	+	
642808968	45	other	-	
642808969	45	GH	-	
642808970	45	GH	-	
642808971	45	GH	-	
642808972	45	GH	-	
642808973	45	Sulf	-	
642808974	45	SusD	-	
642808975	45	Trans	-	
642809010	46	Trans	+	
642809011	46	SusD	+	
642809012	46	other	+	
642809013	46	other	+	
642809014	46	GH	+	
642809015	46	GH	+	
642809016	46	PL	+	
642809017	46	other	-	
642809018	46	REG	+	
642809019	46	SusD	-	
642809020	46	Trans	-	
642809021	46	other	-	
642809022	46	other	+	
642809023	46	REG	+	
642809024	46	REG	+	
642809038	47	GH	+	
642809039	47	GH	+	
642809040	47	Sulf	-	
642809041	47	GH	-	
642809042	47	GH	-	
642809043	47	other	-	
642809044	47	GH	-	
642809045	47	other	-	
642809046	47	SusD	-	
642809047	47	Trans	-	
642809048	47	GH	-	
642809049	47	other	+	
642809050	47	GH	+	
642809051	47	other	-	
642809052	47	REG	-	
642809053	47	other	+	
642809054	47	GH	+	
642809055	47	GH	+	
642809056	47	GH	+	
642809057	47	ROK	+	
642809058	47	other	-	
642809059	47	other	+	
642809060	47	GH	+	
642809061	47	Trans	+	
642809062	47	SusD	+	
642809063	47	other	+	
642809064	47	GH	+	
642809065	47	GH	+	
642809066	47	Trans	+	
642809088	48	GH	-	
642809089	48	other	-	
642809090	48	SusD	-	
642809091	48	Trans	-	
642809092	48	GH	-	
642809093	48	REG	-	
642809145	50	CE	+	
642809146	50	other	+	
642809147	50	GH	+	
642809148	50	Trans	+	
642809149	50	SusD	+	
642809150	50	CE	+	
642809151	50	CE	+	
642809152	50	other	+	
642809153	50	GH	+	
642809154	50	GH	+	
642809155	50	GH	+	
642809156	50	REG	+	
642809237	51	GH	-	
642809238	51	other	-	
642809239	51	other	-	
642809240	51	other	-	
642809241	51	SusD	-	
642809242	51	Trans	-	
642809243	51	GH	-	
642809244	51	REG	-	
642809306	52	GH	-	
642809307	52	GH	-	
642809308	52	GH	-	
642809309	52	SusD	-	
642809310	52	Trans	-	
642809311	52	other	-	
642809312	52	REG	+	
642809313	52	other	-	
642809314	52	GH	-	
642809315	52	other	+	
642809316	52	REG	-	
642809317	52	GH	+	
642809318	52	GH	-	
642809319	52	GH	+	
642809320	52	other	-	
642809321	52	GH	-	
642809322	52	GH	-	
642809323	52	other	+	
642809324	52	other	+	
642809325	52	other	-	
642809326	52	other	-	
642809327	52	other	-	
642809328	52	other	-	
642809329	52	other	-	
642809330	52	SusD	-	
642809331	52	Trans	-	
642809370	53	GH	+	
642809371	53	other	+	
642809372	53	Trans	+	
642809373	53	SusD	+	
642809374	53	GH	+	
642809375	53	other	+	
642809376	53	ROK	+	
642809377	53	GH	+	
642809378	53	Sulf	+	
642809379	53	REG	+	
642809380	53	GH	+	
642809381	53	GH	+	
642809382	53	other	+	
642809383	53	GH	+	
642809384	53	GH	+	
642809385	53	GH	+	
642809386	53	GH	+	
642809387	53	GH	+	
642809388	53	Trans	+	
642809389	53	SusD	+	
642809390	53	GH	+	
642809391	53	GH	+	
642809392	53	other	+	
642809444	54	GH	-	
642809445	54	GH	-	
642809446	54	GH	-	
642809447	54	other	-	
642809448	54	other	-	
642809449	54	SusD	-	
642809450	54	Trans	-	
642809467	55	other	+	
642809468	55	PL	+	
642809469	55	Sulf	+	
642809470	55	other	-	
642809471	55	PL	-	
642809472	55	SusD	-	
642809473	55	Trans	-	
642809474	55	Sulf	-	
642809475	55	REG	-	
642809522	56	REG	+	
642809523	56	Trans	+	
642809524	56	SusD	+	
642809525	56	other	+	
642809526	56	GH	+	
642809527	56	GH	+	
642809528	56	GH	+	
642809556	57	REG	+	
642809557	57	other	+	
642809558	57	CE	+	
642809559	57	other	+	
642809560	57	Trans	+	
642809561	57	SusD	+	
642809562	57	other	+	
642809563	57	GH	+	
642809564	57	other	+	
642809565	57	GH	+	
642809566	57	Sulf	+	
642809567	57	GH	+	
642809568	57	Sulf	+	
642809628	58	REG	+	
642809629	58	GH	+	
642809630	58	other	+	
642809631	58	GH	+	
642809632	58	GH	+	
642809633	58	other	+	
642809634	58	other	-	
642809635	58	other	-	
642809636	58	GH	-	
642809637	58	SusD	-	
642809638	58	Trans	-	
642809652	59	GH	+	
642809653	59	GH	+	
642809654	59	REG	-	
642809655	59	other	-	
642809656	59	Trans	+	
642809657	59	SusD	+	
642809658	59	GH	+	
642809659	59	PL	+	
642809660	59	REG	-	
642809661	59	GH	+	
642809662	59	Trans	+	
642809663	59	SusD	+	
642809664	59	other	+	
642809665	59	GH	+	
642809666	59	GH	+	
642809667	59	GH	+	
642809668	59	GH	+	
642809669	59	GH	+	
642809670	59	GH	+	
642809671	59	other	+	
642809672	59	REG	+	
642809673	59	Trans	+	
642809674	59	SusD	+	
642809675	59	other	+	
642809676	59	GH	+	
642809677	60	GH	-	
642809678	60	PL	-	
642809679	60	GH	-	
642809680	60	GH	-	
642809681	60	other	-	
642809682	60	GH	-	
642809683	60	GH	-	
642809684	60	SusD	-	
642809685	60	Trans	-	
642809686	60	other	-	
642809695	61	CE	-	
642809696	61	other	-	
642809697	61	GH	-	
642809698	61	GH	-	
642809699	61	GH	-	
642809700	61	other	-	
642809701	61	other	-	
642809702	61	SusD	-	
642809703	61	Trans	-	
642809704	61	REG	-	
642809705	61	REG	-	
642809747	62	GH	+	
642809748	62	Trans	+	
642809749	62	SusD	+	
642809750	62	other	+	
642809751	62	GH	+	
642809752	62	GH	+	
642809753	62	other	+	
642809754	62	Sulf	+	
642809755	62	GH	+	
642809756	62	other	+	
642809826	64	GH	+	
642809827	64	other	-	
642809828	64	other	+	
642809829	64	REG	-	
642809830	64	other	+	
642809831	64	Trans	+	
642809832	64	SusD	+	
642809833	64	GH	+	
642810062	66	REG	+	
642810063	66	Trans	+	
642810064	66	SusD	+	
642810065	66	other	+	
642810066	66	GH	+	
642810067	66	GH	+	
642810068	66	GH	+	
642810612	69	other	-	
642810613	69	other	-	
642810614	69	GH	-	
642810615	69	GH	-	
642810616	69	other	-	
642810617	69	other	-	
642810618	69	other	-	
642810619	69	other	-	
642810620	69	other	-	
642810621	69	GH	-	
642810622	69	SusD	-	
642810623	69	Trans	-	
642810807	70	other	+	
642810808	70	Trans	+	
642810809	70	SusD	+	
642810810	70	GH	-	
642810811	70	other	-	
642810812	70	other	-	
642810813	70	other	-	
642810814	70	other	-	
642810815	70	other	-	
642810816	70	other	-	
642810817	70	CE	-	
642810818	70	other	-	
642810819	70	other	-	
642810820	70	other	-	
642810821	70	other	-	
642810822	70	other	-	
642810823	70	SusD	-	
642810824	70	Trans	-	
642810825	70	ROK	-	
642810826	70	other	-	
642810827	70	Trans	-	
642810828	70	other	-	
642810878	72	GH	-	
642810879	72	GH	-	
642810880	72	GH	-	
642810881	72	REG	+	
642810882	72	other	-	
642810883	72	other	+	
642810884	72	Trans	+	
642810885	72	SusD	+	
642810886	72	Trans	+	
642810887	72	SusD	+	
642810888	72	other	+	
642810889	72	GH	+	
642810890	72	ROK	+	
642810891	72	other	+	
642810892	72	other	+	
642810893	72	other	+	
642810894	72	other	+	
642810895	72	other	+	
642810896	72	GH	+	
642810897	72	GH	+	
642810898	72	GH	+	
642810899	72	other	+	
642810900	72	other	+	
642810901	72	GH	+	
642810915	73	REG	+	
642810916	73	GH	-	
642810917	73	Trans	+	
642810918	73	SusD	+	
642810919	73	Trans	+	
642810920	73	SusD	+	
642810921	73	other	+	
642810922	73	GH	+	
642810923	73	GH	+	
642810924	73	REG	+	
642810925	73	other	+	
642810926	73	other	+	
642810927	73	other	+	
642810941	74	PL	-	
642810942	74	GH	-	
642810943	74	GH	-	
642810944	74	GH	-	
642810945	74	other	+	
642810946	74	REG	-	
642810947	74	other	+	
642810948	74	other	-	
642810949	74	GH	-	
642810950	74	GH	-	
642810951	74	PL	-	
642810952	74	other	+	
642810953	74	Trans	+	
642810954	74	SusD	+	
642810955	74	other	+	
642810956	74	CE	+	
642810965	75	GH	-	
642810966	75	SusD	-	
642810967	75	Trans	-	
642810968	75	other	-	
642810969	75	GH	-	
642810970	75	GH	-	
642810971	75	REG	+	
642811100	77	PL	+	
642811101	77	PL	+	
642811102	77	GH	-	
642811103	77	Int	+	
642811104	77	other	-	
642811105	77	Trans	+	
642811106	77	SusD	+	
642811107	77	other	+	
642811108	77	other	+	
642811109	77	Trans	+	
642811110	77	Trans	+	
642811111	77	SusD	+	
642811117	78	other	-	
642811118	78	other	-	
642811119	78	other	-	
642811120	78	Trans	-	
642811121	78	other	-	
642811122	78	other	-	
642811123	78	SusD	-	
642811124	78	Trans	-	
642811125	78	other	-	
642811126	78	GH	-	
642811127	78	PL	-	
642811128	78	GH	-	
642811129	78	other	-	
642811130	78	GH	-	
642811131	78	GH	-	
642811132	78	REG	-	
642811133	78	GH	-	
642811234	79	GH	-	
642811235	79	other	+	
642811236	79	other	-	
642811237	79	GH	-	
642811238	79	GH	-	
642811239	79	other	-	
642811240	79	other	-	
642811241	79	other	-	
642811242	79	SusD	-	
642811243	79	Trans	-	
642811244	79	other	+	
642811245	79	other	+	
642811246	79	other	+	
642811247	79	GH	-	
642811248	79	GH	-	
642811249	79	GH	-	
642811303	80	other	-	
642811304	80	GH	-	
642811305	80	Trans	-	
642811306	80	ROK	+	
642811307	80	GH	-	
642811308	80	Trans	+	
642811309	80	SusD	+	
642811310	80	other	+	
642811311	80	GH	+	
642811672	81	REG	+	
642811673	81	REG	+	
642811674	81	other	+	
642811675	81	Trans	+	
642811676	81	SusD	+	
642811677	81	other	+	
642811678	81	other	+	
642811679	81	GH	+	
642811704	82	Trans	+	
642811705	82	SusD	+	
642811706	82	other	+	
642811707	82	GH	+	
642811803	83	GH	-	
642811804	83	GH	-	
642811805	83	other	-	
642811806	83	other	-	
642811807	83	other	-	
642811808	83	SusD	-	
642811809	83	Trans	-	
642811810	83	SusD	-	
642811811	83	Trans	-	
642811812	83	other	-	
642811813	83	GH	-	
642811814	83	REG	-	
642812276	84	GH	-	
642812277	84	other	+	
642812278	84	other	+	
642812279	84	GH	-	
642812280	84	GH	-	
642812281	84	other	-	
642812282	84	SusD	-	
642812283	84	Trans	-	
642812303	85	REG	-	
642812304	85	Trans	+	
642812305	85	SusD	+	
642812306	85	other	+	
642812307	85	GH	+	
642812308	85	other	-	
642812309	85	GH	+	
642812310	85	other	+	
642812311	85	Trans	+	
642812312	85	GH	+	
642812313	85	GH	+	
642812314	85	other	+	
642812315	85	GH	+	
642812316	85	other	-	
642812317	85	Pept	+	
642812318	85	REG	+	
642812319	85	other	-	
642812320	85	GH	-	
642812321	85	GH	-	
642812322	85	other	-	
642812323	85	GH	-	
642812324	85	other	-	
642812325	85	GH	-	
642812326	85	other	-	
642812327	85	SusD	-	
642812328	85	Trans	-	
642812329	85	SusD	-	
642812330	85	Trans	-	
642812331	85	other	+	
642812332	85	other	-	
642812333	85	GH	-	
642812349	86	GH	-	
642812350	86	GH	-	
642812351	86	Trans	-	
642812352	86	GH	-	
642812353	86	GH	-	
642812354	86	GH	-	
642812355	86	other	-	
642812356	86	other	-	
642812357	86	SusD	-	
642812358	86	Trans	-	
642812359	86	GH	-	
642812360	86	REG	-	
642812361	86	REG	-	
642812386	87	CE	-	
642812387	87	GH	-	
642812388	87	GH	-	
642812389	87	other	-	
642812390	87	GH	+	
642812391	87	other	+	
642812392	87	other	-	
642812393	87	SusD	-	
642812394	87	Trans	-	
642812395	87	Int	+	
642812396	87	Trans	+	
642812397	87	SusD	+	
642812398	87	PL	+	
642812399	87	PL	+	
642812400	87	GH	+	
642812401	87	PL	+	
642812402	87	GH	+	
642812403	87	GH	+	
642812404	87	other	+	
642812517	88	REG	+	
642812518	88	other	-	
642812519	88	SusD	-	
642812520	88	Trans	-	
642812521	88	CE	-	
642812522	88	PL	-	
642812523	88	Trans	-	
642812549	89	GH	+	
642812550	89	other	+	
642812551	89	GH	+	
642812552	89	other	+	
642812553	89	GH	+	
642812554	89	Trans	+	
642812555	89	SusD	+	
642812556	89	other	+	
642812557	89	Trans	+	
642812558	89	SusD	+	
642812559	89	REG	-	
642812560	89	other	+	
642812561	89	other	-	
642812562	89	CE	-	
642812563	89	CE	-	
642812564	89	other	+	
642812565	89	CE	-	
642812566	89	GH	-	
642812856	94	GH	-	
642812857	94	GH	-	
642812858	94	PL	-	
642812859	94	other	-	
642812860	94	other	-	
642812861	94	GH	-	
642812862	94	other	+	
642812863	94	other	-	
642812864	94	GH	-	
642812865	94	GH	-	
642812866	94	CBM	-	
642812867	94	GH	-	
642812868	94	other	-	
642812869	94	SusD	-	
642812870	94	Trans	-	
642812871	94	other	-	
642812872	94	GH	-	
642812899	95	REG	+	
642812900	95	REG	+	
642812901	95	Trans	+	
642812902	95	SusD	+	
642812903	95	Sulf	+	
642812904	95	other	-	
642812905	95	GH	+	
642812906	95	GH	+	
642812907	95	GH	+	
642812908	95	GH	+	
642813044	96	GH	+	
642813045	96	other	+	
642813046	96	other	+	
642813047	96	GH	+	
642813048	96	Trans	+	
642813049	96	SusD	+	
642813050	96	Trans	+	
642813051	96	SusD	+	
642813052	96	other	+	
642813053	96	other	-	
642813054	96	GH	-	
642813055	96	Trans	-	
642813056	96	other	-	
642813057	96	ROK	-	
642813058	96	REG	-	
644164952	113	Trans	+	
644164953	113	SusD	+	
644164954	113	other	+	
644164955	113	Sulf	+	
644164956	113	GH	+	
644164957	113	Sulf	+	
644164958	113	GH	+	
644164959	113	Sulf	+	
644164960	113	Sulf	+	
644164961	113	GH	+	
644164962	113	other	+	
644164963	113	other	+	
644164964	113	other	+	
644164980	114	REG	+	
644164981	114	GH	+	
644164982	114	other	-	
644164983	114	Trans	+	
644164984	114	Trans	+	
644164985	114	SusD	+	
644164986	114	GH	+	
644164987	114	GH	+	
644165561	116	Trans	+	
644165562	116	SusD	+	
644165563	116	other	+	
644165564	116	ROK	+	
644165565	116	GH	+	
644165566	116	REG	+	
644165607	117	other	-	
644165608	117	Sulf	-	
644165609	117	PL	-	
644165610	117	GH	-	
644165611	117	SusD	-	
644165612	117	Trans	-	
644165613	117	ROK	-	
644165614	117	REG	-	
644165615	117	other	-	
644165616	117	Sulf	+	
644165617	117	PL	+	
644165641	119	Trans	+	
644165642	119	SusD	+	
644165643	119	other	+	
644165644	119	other	+	
644165645	119	other	+	
644165646	119	other	+	
644165647	119	Trans	+	
644165648	119	SusD	+	
644165649	119	other	+	
644165650	119	other	+	
644165651	119	other	-	
644165652	119	GH	-	
644165653	119	other	+	
644165654	119	REG	+	
644165666	120	GH	+	
644165667	120	Trans	+	
644165668	120	SusD	+	
644165669	120	other	+	
644165670	120	other	+	
644165671	120	GH	+	
644165675	121	Trans	+	
644165676	121	other	+	
644165677	121	SusD	+	
644165678	121	Trans	+	
644165679	121	SusD	+	
644165680	121	CBM	+	
644165681	121	GH	+	
644165682	121	GH	+	
644165687	122	GH	+	
644165688	122	other	+	
644165689	122	Trans	+	
644165690	122	SusD	+	
644165691	122	GH	+	
644165692	122	GH	+	
644165693	122	GH	+	
644165694	122	GH	+	
644165695	122	GH	+	
644165696	122	GH	+	
644165697	122	GH	+	
644165698	122	GH	+	
644165699	122	GH	+	
644165700	122	GH	+	
644165706	123	REG	-	
644165707	123	other	-	
644165708	123	Trans	+	
644165709	123	SusD	+	
644165710	123	GH	+	
644165711	123	GH	+	
644165712	123	PL	+	
644165788	124	GH	-	
644165789	124	GH	-	
644165790	124	GH	-	
644165791	124	other	-	
644165792	124	other	-	
644165793	124	GH	-	
644165794	124	other	-	
644165795	124	REG	-	
644165796	124	other	-	
644165797	124	SusD	-	
644165798	124	Trans	-	
644166001	126	PL	-	
644166002	126	other	+	
644166003	126	SusD	-	
644166004	126	Trans	-	
644166005	126	Sulf	-	
644166006	126	GH	-	
644166007	126	REG	-	
644166040	127	Trans	+	
644166041	127	SusD	+	
644166042	127	other	+	
644166043	127	other	-	
644166044	127	REG	+	
644166045	127	GH	+	
644166046	127	GH	+	
644166047	127	GH	+	
644166048	127	GH	+	
644166049	127	other	-	
644166050	127	other	-	
644166051	127	GH	-	
644166076	128	other	-	
644166077	128	GH	-	
644166078	128	GH	-	
644166079	128	other	-	
644166080	128	other	-	
644166081	128	SusD	-	
644166082	128	Trans	-	
644166083	128	other	-	
644166084	128	other	-	
644166085	128	other	+	
644166086	128	GH	-	
644166087	128	GH	-	
644166088	128	GH	-	
644166089	128	other	+	
644166090	128	other	-	
644166091	128	GH	-	
644166151	129	GH	-	
644166152	129	other	-	
644166153	129	GH	-	
644166154	129	other	-	
644166155	129	SusD	-	
644166156	129	Trans	-	
644166157	129	REG	-	
644166197	133	Trans	+	
644166198	133	SusD	+	
644166199	133	other	+	
644166200	133	GH	+	
644166201	133	GH	+	
644166202	134	GH	-	
644166203	134	GH	-	
644166204	134	other	-	
644166205	134	GH	-	
644166206	134	GH	-	
644166207	134	SusD	-	
644166208	134	Trans	-	
644166219	135	Trans	+	
644166220	135	SusD	+	
644166221	135	GH	+	
644166222	135	other	+	
644166223	135	GH	+	
644166224	135	other	+	
644166225	135	CE	+	
644166247	137	GH	+	
644166248	137	GH	+	
644166249	137	other	-	
644166250	137	GH	-	
644166251	137	SusD	-	
644166252	137	Trans	-	
644166253	137	REG	+	
644166254	137	GH	-	
644166259	138	REG	+	
644166260	138	GH	+	
644166261	138	other	+	
644166262	138	GH	+	
644166263	138	GH	+	
644166264	138	Trans	+	
644166265	138	SusD	+	
644166266	138	other	+	
644166267	138	GH	+	
644166288	140	GH	-	
644166289	140	GH	-	
644166290	140	GH	-	
644166291	140	GH	-	
644166292	140	Sulf	-	
644166293	140	SusD	-	
644166294	140	Trans	-	
644166295	140	other	-	
644166296	140	REG	+	
644166297	140	GH	-	
644166298	140	other	-	
644166299	140	other	-	
644166300	140	GH	-	
644166301	140	GH	-	
644166302	140	GH	-	
644166303	140	other	-	
644166304	140	other	+	
644166305	140	SusD	-	
644166306	140	Trans	-	
644166307	140	SusD	-	
644166308	140	Trans	-	
644166309	140	REG	+	
644166354	141	Trans	+	
644166355	141	SusD	+	
644166356	141	other	+	
644166357	141	other	+	
644166358	141	GH	+	
644166359	141	other	-	
644166360	141	GH	+	
644166394	142	GH	-	
644166395	142	GH	-	
644166396	142	GH	-	
644166397	142	other	-	
644166398	142	SusD	-	
644166399	142	Trans	-	
644166400	142	REG	-	
644166491	144	other	+	
644166492	144	Trans	+	
644166493	144	SusD	+	
644166494	144	GH	+	
644166495	144	GH	+	
644166605	146	other	-	
644166606	146	GH	-	
644166607	146	GH	-	
644166608	146	SusD	-	
644166609	146	Trans	-	
644166610	146	GH	-	
644166611	146	GH	-	
644166612	146	GH	-	
644166613	146	GH	-	
644166614	146	GH	-	
644166615	146	other	-	
644166616	146	GH	-	
644166617	146	GH	-	
644166618	146	REG	-	
644166671	148	GH	+	
644166672	148	other	+	
644166673	148	Trans	+	
644166674	148	SusD	+	
644166675	148	GH	+	
644166676	149	GH	+	
644166677	149	GH	+	
644166678	149	other	+	
644166679	149	other	-	
644166680	149	GH	+	
644166681	149	GH	+	
644166682	149	other	+	
644166683	149	GH	+	
644166684	149	GH	+	
644166685	149	GH	+	
644166686	149	GH	+	
644166687	149	Trans	+	
644166688	149	SusD	+	
644166689	149	other	+	
644166734	150	REG	+	
644166735	150	other	+	
644166736	150	GH	+	
644166737	150	Trans	+	
644166738	150	SusD	+	
644166739	150	other	+	
644166740	150	GH	+	
644166741	150	REG	-	
644166742	150	other	+	
644166743	150	Trans	+	
644166744	150	SusD	+	
644166745	150	GH	+	
644166746	150	GH	+	
644166747	150	GH	+	
644166748	151	other	-	
644166749	151	other	-	
644166750	151	other	-	
644166751	151	SusD	-	
644166752	151	Trans	-	
644166753	151	GH	-	
644166754	151	REG	-	
644166786	152	REG	-	
644166787	152	other	-	
644166788	152	other	-	
644166789	152	SusD	-	
644166790	152	Trans	-	
644166791	152	GH	-	
644166793	153	GH	+	
644166794	153	GH	+	
644166795	153	GH	+	
644166796	153	Pept	+	
644166797	153	REG	+	
644166798	153	Trans	+	
644166799	153	SusD	+	
644166800	153	other	+	
644166801	153	other	+	
644166813	154	REG	+	
644166814	154	other	-	
644166815	154	GH	+	
644166816	154	GH	+	
644166817	154	Trans	+	
644166818	154	SusD	+	
644166819	154	GH	+	
644166820	154	GH	+	
644166821	154	CE	+	
644166879	155	REG	+	
644166880	155	GH	+	
644166881	155	Trans	+	
644166882	155	SusD	+	
644166883	155	other	+	
644166884	155	other	+	
644166885	155	GH	+	
644166886	155	other	+	
644166887	155	other	+	
644166888	155	REG	+	
644166889	155	other	+	
644166890	155	other	+	
644167040	158	GH	+	
644167041	158	REG	+	
644167042	158	CBM	+	
644167043	158	GH	+	
644167044	158	Trans	+	
644167045	158	SusD	+	
644167046	158	other	+	
644167047	158	GH	+	
644167048	158	GH	+	
644167107	161	other	+	
644167108	161	GH	+	
644167109	161	Trans	+	
644167110	161	SusD	+	
644167111	161	other	+	
644167112	161	other	+	
644167113	161	other	+	
644167114	161	GH	+	
644167115	161	other	-	
644167116	161	GH	-	
644167128	162	GH	-	
644167129	162	GH	-	
644167130	162	other	-	
644167131	162	GH	-	
644167132	162	GH	-	
644167133	162	GH	-	
644167134	162	SusD	-	
644167135	162	Trans	-	
644167136	162	Trans	-	
644167137	162	REG	-	
644167138	162	REG	-	
644167204	164	other	-	
644167205	164	GH	-	
644167206	164	SusD	-	
644167207	164	Trans	-	
644167208	165	Trans	-	
644167209	165	GH	-	
644167210	165	GH	-	
644167211	165	GH	-	
644167212	165	other	-	
644167213	165	other	-	
644167214	165	SusD	-	
644167215	165	Trans	-	
644167216	165	GH	-	
644167217	165	GH	-	
644167218	165	CE	-	
644167219	165	other	-	
644167220	165	GH	-	
644167221	165	other	-	
644167260	167	REG	+	
